name,price,image
FORD EDGE LIMITED,63.900.000,https://www.carmaxcolombia.com.co/wp-content/uploads/2024/09/UGW510-FORD-EDGE-Copy.jpg
MERCEDES BENZ  B 180,48.900.000,https://www.carmaxcolombia.com.co/wp-content/uploads/2024/09/NDR121-M-BENZ-Copy.jpg
TOYOTA PRADO SUMO 4X4,129.900.000,https://www.carmaxcolombia.com.co/wp-content/uploads/2024/09/IUA694-TOYOTA-PRADO-Copy.jpg
VOLKSWAGEN VOYAGE,48.900.000,https://www.carmaxcolombia.com.co/wp-content/uploads/2024/09/GFO001-VOYAGE-Copy.jpg
SUZUKI SWIFT DZIRE AUT,51.900.000,https://www.carmaxcolombia.com.co/wp-content/uploads/2024/09/LLX344-Copy.jpg
SUZUKI SCROSS 2WD AT,65.900.000,https://www.carmaxcolombia.com.co/wp-content/uploads/2024/09/JVV274-SUZUKI-S-CROSS-Copy.jpg
MERCEDES BENZ CLA180,89.900.000,https://www.carmaxcolombia.com.co/wp-content/uploads/2024/09/FYY017-Copy.jpg
RENAULT KOLEOS 2.5,54.900.000,https://www.carmaxcolombia.com.co/wp-content/uploads/2024/08/COD840-RENAULT-KOLEOS-Copy.jpg
CHEVROLET TRACKER FWD LS,61.900.000,https://www.carmaxcolombia.com.co/wp-content/uploads/2024/08/JBZ935-CHEVROLET-TRACKER-Copy.jpg
JEEP GRAND CHEROKEE 4X4,62.900.000,https://www.carmaxcolombia.com.co/wp-content/uploads/2024/08/NCO149-JEEP-LAREDO-Copy.jpg
MAZDA 3 SPORT TOURING,72.900.000,https://www.carmaxcolombia.com.co/wp-content/uploads/2024/08/FVW255-MAZDA-3-Copy.jpg
JEEP COMPASS 2.4 4x2 AUT,51.900.000,https://www.carmaxcolombia.com.co/wp-content/uploads/2024/06/IAR554-JEEP-CHEROKKE-Copy.jpg
VOLKSWAGEN	NEW SAVEIRO,53.900.000,https://www.carmaxcolombia.com.co/wp-content/uploads/2024/05/jrk887-vw-saveiro-Copy.jpg
PEUGEOT 2008 ALLURE 1.2T. 4X2 AUT.,95.900.000,https://www.carmaxcolombia.com.co/wp-content/uploads/2024/05/KNO547-PEUGEOT-3008-Copy.jpg
SEAT LEON REFERENCE,54.900.000,https://www.carmaxcolombia.com.co/wp-content/uploads/2024/05/EIW282-SEAT-LEON-Copy.jpg
PEUGEOT	2008 ACTIVE,62.900.000,https://www.carmaxcolombia.com.co/wp-content/uploads/2024/05/JGW935-PEUGEOT-2008-Copy.jpg
MERCEDES BENZ A 200,112.900.000,https://www.carmaxcolombia.com.co/wp-content/uploads/2024/05/GSQ562-M-BENZ-A-200-Copy.jpg
"CHEVROLET COLORADO LTZ DOB 2,8T 4X4",160.900.000,https://www.carmaxcolombia.com.co/wp-content/uploads/2024/04/KUS040-CHEVROLET-DURAMAX-DIESEL-COLORADO-Copy.jpg
FORD ESCAPE,96.900.000,https://www.carmaxcolombia.com.co/wp-content/uploads/2024/04/JMO819-FORD-ESCAPE-Copy.jpg
NISSAN QASHQAI,43.900.000,https://www.carmaxcolombia.com.co/wp-content/uploads/2024/04/HTW205-NISSAN-QASHQAI-Copy.jpg
FIAT	500 SPORT,33.900.000,https://www.carmaxcolombia.com.co/wp-content/uploads/2024/04/MVV500-FIAT-500-Copy.jpg
RENAULT LOGAN INTENS,63.900.000,https://www.carmaxcolombia.com.co/wp-content/uploads/2024/04/LGT201-RENAULT-LOGAN-Copy.jpg
RENAULT KANGOO ESPRESS,62.900.000,https://www.carmaxcolombia.com.co/wp-content/uploads/2024/03/KZR212-RENAULT-KANGOO-Copy.jpg
